,Seed,Errors
192,290,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 13 (1-17), variables result and b1 will be merged to v0
Register allocation: no register bank for type bool
"
193,291,"WARNING: CAN NOT FIND IINFO 1
compilation error in functions main and main at position line 23 from line 64: assembler error Invalid pexpr for word
PLEASE REPORT
"
194,292,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 55 (8-10): variable v1.100 is an array (function return)
"
195,294,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 5 (8-10): typing error: the expression has type U64 instead of U64[5]
"
196,296,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
197,299,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
198,300,"Register allocation: no register bank for type int
"
199,301,"at line line 4: can not allocate v0.92 into RAX.41, the variable is already allocated in RDI.48
"
200,303,"Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
201,304,"Register allocation: no register bank for type bool
"
202,305,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 50 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
203,306,"WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 48 (1-17), variables result and b1 will be merged to v0
Fatal error: exception File ""src/liveness.ml"", line 63, characters 14-20: Assertion failed
"
204,307,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 7 (8-10): variable v3.92 is an array (function return)
"
205,310,"Register allocation: no register bank for type int
"
206,311,"/Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 9 (8-10): variable v6.94 is an array (function return)
"
207,313,": line -1 (-1): variable v0.101 is an array (function argument)
"
208,315,"compilation error in functions f0 and f0 at position line 6: assembler error Invalid pexpr for oprd, constant not allowed
PLEASE REPORT
"
